Order ID,22,Exported Date,31/05/2023 1:06:28 pm,

Order Line ID,Parent Voucher Type,Voucher Type,Serial Number,Random Serial,Random Digits,Barcode,Booklet Identifier,PIN
45,98020,98020,1427,8727613,5925,9802087276135925,980200001427,NULL
45,98020,98020,1428,6872424,5722,9802068724245722,980200001428,NULL
45,98020,98020,1429,5960208,6445,9802059602086445,980200001429,NULL
45,98020,98020,1430,0662712,4180,9802006627124180,980200001430,NULL
45,98020,98020,1431,1519031,5158,9802015190315158,980200001431,NULL
45,98020,98020,1432,2716326,3059,9802027163263059,980200001432,NULL
45,98020,98020,1433,5179874,8987,9802051798748987,980200001433,NULL
45,98020,98020,1434,7060823,7189,9802070608237189,980200001434,NULL
45,98020,98020,1435,0338093,3618,9802003380933618,980200001435,NULL
45,98020,98020,1436,8423206,4208,9802084232064208,980200001436,NULL
45,98020,98020,1437,4979260,8314,9802049792608314,980200001437,NULL
45,98020,98020,1438,6773487,2475,9802067734872475,980200001438,NULL
45,98020,98020,1439,4143258,6299,9802041432586299,980200001439,NULL
45,98020,98020,1440,4510007,4488,9802045100074488,980200001440,NULL
45,98020,98020,1441,7756410,4485,9802077564104485,980200001441,NULL
45,98020,98020,1442,2900178,8321,9802029001788321,980200001442,NULL
45,98020,98020,1443,0961134,1877,9802009611341877,980200001443,NULL
45,98020,98020,1444,4142936,5665,9802041429365665,980200001444,NULL
45,98020,98020,1445,4063801,6788,9802040638016788,980200001445,NULL
45,98020,98020,1446,0625633,4209,9802006256334209,980200001446,NULL
45,98020,98020,1447,7743959,0124,9802077439590124,980200001447,NULL
45,98020,98020,1448,6698760,3579,9802066987603579,980200001448,NULL
45,98020,98020,1449,8383343,6377,9802083833436377,980200001449,NULL
45,98020,98020,1450,3477446,7681,9802034774467681,980200001450,NULL
45,98020,98020,1451,5576141,5441,9802055761415441,980200001451,NULL
45,98020,98020,1452,1811852,9272,9802018118529272,980200001452,NULL
45,98020,98020,1453,8866551,9539,9802088665519539,980200001453,NULL
45,98020,98020,1454,6985942,9339,9802069859429339,980200001454,NULL
45,98020,98020,1455,4752922,2367,9802047529222367,980200001455,NULL
45,98020,98020,1456,1780880,5570,9802017808805570,980200001456,NULL
45,98020,98020,1457,6844046,9192,9802068440469192,980200001457,NULL
45,98020,98020,1458,3664560,9334,9802036645609334,980200001458,NULL
45,98020,98020,1459,0140160,6189,9802001401606189,980200001459,NULL
45,98020,98020,1460,7620431,0197,9802076204310197,980200001460,NULL
45,98020,98020,1461,3088344,5428,9802030883445428,980200001461,NULL
45,98020,98020,1462,9738696,9923,9802097386969923,980200001462,NULL
45,98020,98020,1463,8167960,1757,9802081679601757,980200001463,NULL
45,98020,98020,1464,6392605,0475,9802063926050475,980200001464,NULL
45,98020,98020,1465,1706195,7084,9802017061957084,980200001465,NULL
45,98020,98020,1466,6326660,8122,9802063266608122,980200001466,NULL
45,98020,98020,1467,1971327,0189,9802019713270189,980200001467,NULL
45,98020,98020,1468,8762854,0749,9802087628540749,980200001468,NULL
45,98020,98020,1469,9647623,8603,9802096476238603,980200001469,NULL
45,98020,98020,1470,1519422,1311,9802015194221311,980200001470,NULL
45,98020,98020,1471,3551605,8936,9802035516058936,980200001471,NULL
45,98020,98020,1472,6375349,3491,9802063753493491,980200001472,NULL
45,98020,98020,1473,9691287,1330,9802096912871330,980200001473,NULL
45,98020,98020,1474,8312192,4381,9802083121924381,980200001474,NULL
45,98020,98020,1475,1547526,1978,9802015475261978,980200001475,NULL
45,98020,98020,1476,7958061,2137,9802079580612137,980200001476,NULL
45,98020,98020,1477,4840256,5708,9802048402565708,980200001477,NULL
45,98020,98020,1478,9465813,6091,9802094658136091,980200001478,NULL
45,98020,98020,1479,4036770,1568,9802040367701568,980200001479,NULL
45,98020,98020,1480,6592750,7023,9802065927507023,980200001480,NULL
45,98020,98020,1481,2126358,2039,9802021263582039,980200001481,NULL
45,98020,98020,1482,4179166,3259,9802041791663259,980200001482,NULL
45,98020,98020,1483,8320215,3363,9802083202153363,980200001483,NULL
45,98020,98020,1484,6089341,9675,9802060893419675,980200001484,NULL
45,98020,98020,1485,3060458,8688,9802030604588688,980200001485,NULL
45,98020,98020,1486,8101373,9883,9802081013739883,980200001486,NULL
45,98020,98020,1487,1565404,7644,9802015654047644,980200001487,NULL
45,98020,98020,1488,8053533,6558,9802080535336558,980200001488,NULL
45,98020,98020,1489,1720015,1284,9802017200151284,980200001489,NULL
45,98020,98020,1490,7510830,4181,9802075108304181,980200001490,NULL
45,98020,98020,1491,1994582,2435,9802019945822435,980200001491,NULL
45,98020,98020,1492,6505573,0124,9802065055730124,980200001492,NULL
45,98020,98020,1493,6321779,4864,9802063217794864,980200001493,NULL
45,98020,98020,1494,9485292,1975,9802094852921975,980200001494,NULL
45,98020,98020,1495,0955854,6611,9802009558546611,980200001495,NULL
45,98020,98020,1496,2151652,2733,9802021516522733,980200001496,NULL
45,98020,98020,1497,6427596,1171,9802064275961171,980200001497,NULL
45,98020,98020,1498,8140467,8047,9802081404678047,980200001498,NULL
45,98020,98020,1499,4667220,8546,9802046672208546,980200001499,NULL
45,98020,98020,1500,4841911,7295,9802048419117295,980200001500,NULL
45,98020,98020,1501,6539925,6927,9802065399256927,980200001501,NULL
45,98020,98020,1502,7776839,7620,9802077768397620,980200001502,NULL
45,98020,98020,1503,4538090,4859,9802045380904859,980200001503,NULL
45,98020,98020,1504,4776022,6598,9802047760226598,980200001504,NULL
45,98020,98020,1505,4091166,1565,9802040911661565,980200001505,NULL
45,98020,98020,1506,6401917,6094,9802064019176094,980200001506,NULL
45,98020,98020,1507,6529835,4856,9802065298354856,980200001507,NULL
45,98020,98020,1508,1246108,5206,9802012461085206,980200001508,NULL
45,98020,98020,1509,1079317,1330,9802010793171330,980200001509,NULL
45,98020,98020,1510,6284016,8256,9802062840168256,980200001510,NULL
45,98020,98020,1511,4881642,7750,9802048816427750,980200001511,NULL
45,98020,98020,1512,1069448,6407,9802010694486407,980200001512,NULL
45,98020,98020,1513,0527280,5895,9802005272805895,980200001513,NULL
45,98020,98020,1514,4598308,9892,9802045983089892,980200001514,NULL
45,98020,98020,1515,1829849,8561,9802018298498561,980200001515,NULL
45,98020,98020,1516,3496383,7645,9802034963837645,980200001516,NULL
45,98020,98020,1517,8131568,7152,9802081315687152,980200001517,NULL
45,98020,98020,1518,4109750,5337,9802041097505337,980200001518,NULL
45,98020,98020,1519,3804801,4161,9802038048014161,980200001519,NULL
45,98020,98020,1520,0859468,2638,9802008594682638,980200001520,NULL
45,98020,98020,1521,9069447,8554,9802090694478554,980200001521,NULL
45,98020,98020,1522,8628286,9873,9802086282869873,980200001522,NULL
45,98020,98020,1523,7716482,3419,9802077164823419,980200001523,NULL
45,98020,98020,1524,0506389,6111,9802005063896111,980200001524,NULL
45,98020,98020,1525,8088620,0403,9802080886200403,980200001525,NULL
45,98020,98020,1526,6960024,6776,9802069600246776,980200001526,NULL
45,98020,98020,1527,5941556,3473,9802059415563473,980200001527,NULL
45,98020,98020,1528,4499759,9111,9802044997599111,980200001528,NULL
45,98020,98020,1529,2117381,0249,9802021173810249,980200001529,NULL
45,98020,98020,1530,0305680,1230,9802003056801230,980200001530,NULL
45,98020,98020,1531,9184896,3327,9802091848963327,980200001531,NULL
45,98020,98020,1532,2340821,6135,9802023408216135,980200001532,NULL
